(epoch: 29, iters: 640, time: 0.014, data: 0.048 ETA:    0:03:19) G_GAN: 1.461 G_L1: 8.059 D_real: 0.237 D_fake: 0.321 
(epoch: 30, iters: 320, time: 0.015, data: 0.011 ETA:    0:03:01) G_GAN: 1.033 G_L1: 7.769 D_real: 0.551 D_fake: 0.226 
(epoch: 30, iters: 1120, time: 0.006, data: 0.015 ETA:    0:01:19) G_GAN: 0.543 G_L1: 7.213 D_real: 1.918 D_fake: 0.159 
(epoch: 31, iters: 800, time: 0.015, data: 1.316 ETA:    0:02:51) G_GAN: 1.834 G_L1: 8.409 D_real: 0.332 D_fake: 0.316 
(epoch: 32, iters: 480, time: 0.015, data: 0.095 ETA:    0:02:31) G_GAN: 1.821 G_L1: 8.481 D_real: 0.159 D_fake: 0.436 
(epoch: 33, iters: 160, time: 0.015, data: 0.055 ETA:    0:02:27) G_GAN: 1.360 G_L1: 8.022 D_real: 0.325 D_fake: 0.311 
(epoch: 33, iters: 960, time: 0.014, data: 0.011 ETA:    0:02:15) G_GAN: 1.253 G_L1: 8.458 D_real: 0.327 D_fake: 0.368 
(epoch: 34, iters: 640, time: 0.014, data: 0.120 ETA:    0:01:52) G_GAN: 1.999 G_L1: 9.212 D_real: 0.229 D_fake: 0.168 
(epoch: 35, iters: 320, time: 0.014, data: 0.063 ETA:    0:01:46) G_GAN: 2.084 G_L1: 8.016 D_real: 0.101 D_fake: 0.310 
(epoch: 35, iters: 1120, time: 0.006, data: 0.055 ETA:    0:00:41) G_GAN: 0.790 G_L1: 7.697 D_real: 1.588 D_fake: 0.231 
(epoch: 36, iters: 800, time: 0.014, data: 1.321 ETA:    0:01:18) G_GAN: 1.839 G_L1: 8.275 D_real: 0.109 D_fake: 0.427 
(epoch: 37, iters: 480, time: 0.014, data: 0.008 ETA:    0:01:14) G_GAN: 1.518 G_L1: 8.838 D_real: 0.176 D_fake: 0.397 
(epoch: 38, iters: 160, time: 0.015, data: 0.077 ETA:    0:00:54) G_GAN: 2.139 G_L1: 7.709 D_real: 0.269 D_fake: 0.213 
(epoch: 38, iters: 960, time: 0.014, data: 0.024 ETA:    0:00:47) G_GAN: 1.795 G_L1: 7.700 D_real: 0.094 D_fake: 0.275 
(epoch: 39, iters: 640, time: 0.015, data: 0.008 ETA:    0:00:42) G_GAN: 1.608 G_L1: 8.023 D_real: 0.191 D_fake: 0.274 
(epoch: 40, iters: 320, time: 0.014, data: 0.107 ETA:    0:00:19) G_GAN: 1.593 G_L1: 7.123 D_real: 0.300 D_fake: 0.227 
(epoch: 40, iters: 1120, time: 0.006, data: 0.007 ETA:    0:00:12) G_GAN: 1.459 G_L1: 7.603 D_real: 1.167 D_fake: 0.254 
(epoch: 1, iters: 800, time: 0.014, data: 1.195 ETA:    0:10:25) G_GAN: 2.651 G_L1: 20.222 D_real: 0.164 D_fake: 0.118 
(epoch: 2, iters: 480, time: 0.014, data: 0.112 ETA:    0:09:51) G_GAN: 3.945 G_L1: 10.546 D_real: 0.041 D_fake: 0.025 
(epoch: 3, iters: 160, time: 0.014, data: 0.114 ETA:    0:09:57) G_GAN: 3.789 G_L1: 12.379 D_real: 0.193 D_fake: 0.396 
(epoch: 3, iters: 960, time: 0.014, data: 0.021 ETA:    0:09:46) G_GAN: 2.253 G_L1: 11.374 D_real: 0.254 D_fake: 0.226 
(epoch: 4, iters: 640, time: 0.014, data: 0.037 ETA:    0:09:28) G_GAN: 0.857 G_L1: 9.496 D_real: 0.860 D_fake: 0.372 
(epoch: 5, iters: 320, time: 0.014, data: 0.010 ETA:    0:09:39) G_GAN: 1.292 G_L1: 9.826 D_real: 0.340 D_fake: 0.352 
(epoch: 5, iters: 1120, time: 0.006, data: 0.085 ETA:    0:03:53) G_GAN: 2.173 G_L1: 10.408 D_real: 0.107 D_fake: 0.602 
(epoch: 6, iters: 800, time: 0.015, data: 1.346 ETA:    0:09:42) G_GAN: 1.629 G_L1: 9.130 D_real: 0.768 D_fake: 0.135 
(epoch: 7, iters: 480, time: 0.015, data: 0.058 ETA:    0:09:15) G_GAN: 1.725 G_L1: 10.250 D_real: 0.271 D_fake: 0.274 
(epoch: 8, iters: 160, time: 0.015, data: 0.024 ETA:    0:09:10) G_GAN: 1.571 G_L1: 10.282 D_real: 0.436 D_fake: 0.422 
(epoch: 8, iters: 960, time: 0.014, data: 0.009 ETA:    0:08:20) G_GAN: 1.247 G_L1: 10.321 D_real: 0.595 D_fake: 0.218 
(epoch: 9, iters: 640, time: 0.014, data: 0.018 ETA:    0:08:24) G_GAN: 1.179 G_L1: 8.613 D_real: 0.951 D_fake: 0.479 
(epoch: 10, iters: 320, time: 0.014, data: 0.122 ETA:    0:08:17) G_GAN: 1.264 G_L1: 9.247 D_real: 0.908 D_fake: 0.115 
(epoch: 10, iters: 1120, time: 0.006, data: 0.027 ETA:    0:03:25) G_GAN: 2.276 G_L1: 9.034 D_real: 0.134 D_fake: 0.428 
(epoch: 11, iters: 800, time: 0.014, data: 1.272 ETA:    0:07:51) G_GAN: 2.039 G_L1: 8.976 D_real: 0.150 D_fake: 0.333 
(epoch: 1, iters: 800, time: 0.014, data: 1.302 ETA:    0:10:07) G_GAN: 2.027 G_L1: 29.082 D_real: 0.217 D_fake: 0.234 
(epoch: 2, iters: 480, time: 0.014, data: 0.068 ETA:    0:09:58) G_GAN: 1.426 G_L1: 10.070 D_real: 0.325 D_fake: 0.114 
(epoch: 3, iters: 160, time: 0.015, data: 0.097 ETA:    0:10:06) G_GAN: 2.987 G_L1: 11.537 D_real: 1.081 D_fake: 0.031 
